dataset;rule_id;assert_test;rule_text;rule_type
qs_data_facility;10061;not(exists(BELEGUNGSKAPAZITAET/@value)) or string-length(xs:string(BELEGUNGSKAPAZITAET/@value)) = 0 or xs:string(BELEGUNGSKAPAZITAET/@value) = '';Im Pflichtfeld ['Belegungskapazität'] ist kein Wert angegeben;ERROR
qs_data_facility;10062;not(exists(BELEGUNGAMSTICHTAG/@value)) or string-length(xs:string(BELEGUNGAMSTICHTAG/@value)) = 0 or xs:string(BELEGUNGAMSTICHTAG/@value) = '';Im Pflichtfeld ['Belegungszahl am Stichtag'] ist kein Wert angegeben;ERROR
qs_data_facility;30097;"exists(BELEGUNGSKAPAZITAET/@value) and (not(BELEGUNGSKAPAZITAET/@value castable as xs:int) or string-length(xs:string(BELEGUNGSKAPAZITAET/@value)) &gt; 3)";Der Datentyp des Datenfeldes ['Belegungskapazität'] entspricht nicht dem vorgegebenen Datentyp: xs:int mit einer Feldlänge von 3;ERROR
qs_data_facility;30098;"exists(BELEGUNGAMSTICHTAG/@value) and (not(BELEGUNGAMSTICHTAG/@value castable as xs:int) or string-length(xs:string(BELEGUNGAMSTICHTAG/@value)) &gt; 3)";Der Datentyp des Datenfeldes ['Belegungszahl am Stichtag'] entspricht nicht dem vorgegebenen Datentyp: xs:int mit einer Feldlänge von 3;ERROR
qs_data_facility;40006;"BELEGUNGSKAPAZITAET/@value &lt; 1";"Der Wert des Datenfeldes ['Belegungskapazität'] liegt nicht im gültigen Wertebereich: &gt;= 1";ERROR
qs_data_facility;40008;"BELEGUNGAMSTICHTAG/@value &lt; 0";"Der Wert des Datenfeldes ['Belegungszahl am Stichtag'] liegt nicht im gültigen Wertebereich: &gt;= 0";ERROR
qs_data_facility;70019;"BELEGUNGAMSTICHTAG/@value &gt; BELEGUNGSKAPAZITAET/@value";Hinweis: Die Angabe im Datenfeld ['Belegungszahl am Stichtag'] ist größer als die Angabe im Datenfeld ['Belegungskapazität'];WARNING
qs_data;10001;not(exists(IDBEWOHNER/@value)) or string-length(xs:string(IDBEWOHNER/@value)) = 0 or xs:string(IDBEWOHNER/@value) = '';Im Pflichtfeld [1: 'Bewohnerbezogene Nummer'] ist kein Wert angegeben;ERROR
qs_data;10003;not(exists(ERHEBUNGSDATUM/@value)) or string-length(xs:string(ERHEBUNGSDATUM/@value)) = 0 or xs:string(ERHEBUNGSDATUM/@value) = '';Im Pflichtfeld [3: 'Datum der Ergebniserfassung'] ist kein Wert angegeben;ERROR
qs_data;10004;not(exists(EINZUGSDATUM/@value)) or string-length(xs:string(EINZUGSDATUM/@value)) = 0 or xs:string(EINZUGSDATUM/@value) = '';Im Pflichtfeld [4: 'Datum des Einzugs (Beginn der vollstationären Langzeitpflege)'] ist kein Wert angegeben;ERROR
qs_data;10005;not(exists(GEBURTSMONAT/@value)) or string-length(xs:string(GEBURTSMONAT/@value)) = 0 or xs:string(GEBURTSMONAT/@value) = '';Im Pflichtfeld [5: 'Geburtsmonat'] ist kein Wert angegeben;ERROR
qs_data;10006;not(exists(GEBURTSJAHR/@value)) or string-length(xs:string(GEBURTSJAHR/@value)) = 0 or xs:string(GEBURTSJAHR/@value) = '';Im Pflichtfeld [6: 'Geburtsjahr'] ist kein Wert angegeben;ERROR
qs_data;10008;not(exists(PFLEGEGRAD/@value)) or string-length(xs:string(PFLEGEGRAD/@value)) = 0 or xs:string(PFLEGEGRAD/@value) = '';Im Pflichtfeld [7: 'Ist ein Pflegegrad vorhanden?'] ist kein Wert angegeben;ERROR
