dataset;rule_id;assert_test;rule_text;rule_type
qs_data_facility;10061;not(exists(BELEGUNGSKAPAZITAET/@value)) or string-length(xs:string(BELEGUNGSKAPAZITAET/@value)) = 0 or xs:string(BELEGUNGSKAPAZITAET/@value) = '';Das Datenfeld 'Belegungskapazität' ist nicht ausgefüllt;ERROR
qs_data_facility;10062;not(exists(BELEGUNGAMSTICHTAG/@value)) or string-length(xs:string(BELEGUNGAMSTICHTAG/@value)) = 0 or xs:string(BELEGUNGAMSTICHTAG/@value) = '';Das Datenfeld 'Belegungszahl am Stichtag' ist nicht ausgefüllt;ERROR
qs_data_facility;30097;"exists(BELEGUNGSKAPAZITAET/@value) and (not(BELEGUNGSKAPAZITAET/@value castable as xs:int) or string-length(xs:string(BELEGUNGSKAPAZITAET/@value)) &gt; 3)";Der Datentyp des Datenfeldes 'Belegungskapazität' entspricht nicht dem vorgegebenen Datentyp: xs:int mit einer Feldlänge von 3;ERROR
qs_data_facility;30098;"exists(BELEGUNGAMSTICHTAG/@value) and (not(BELEGUNGAMSTICHTAG/@value castable as xs:int) or string-length(xs:string(BELEGUNGAMSTICHTAG/@value)) &gt; 3)";Der Datentyp des Datenfeldes 'Belegungszahl am Stichtag' entspricht nicht dem vorgegebenen Datentyp: xs:int mit einer Feldlänge von 3;ERROR
qs_data_facility;40006;"BELEGUNGSKAPAZITAET/@value &lt; 1";"Der Wert des Datenfeldes 'Belegungskapazität' liegt nicht im gültigen Wertebereich: &gt;= 1";ERROR
qs_data_facility;70019;"BELEGUNGAMSTICHTAG/@value &gt; BELEGUNGSKAPAZITAET/@value";Hinweis: Der Wert im Datenfeld 'Belegungszahl am Stichtag' ist größer als der Wert im Datenfeld 'Belegungskapazität';WARNING
qs_data;10001;not(exists(IDBEWOHNER/@value)) or string-length(xs:string(IDBEWOHNER/@value)) = 0 or xs:string(IDBEWOHNER/@value) = '';Das Datenfeld 'Bewohnerbezogene Nummer' ist nicht ausgefüllt;ERROR
qs_data;10003;not(exists(ERHEBUNGSDATUM/@value)) or string-length(xs:string(ERHEBUNGSDATUM/@value)) = 0 or xs:string(ERHEBUNGSDATUM/@value) = '';Das Datenfeld 'Datum der Erhebung' ist nicht ausgefüllt;ERROR
qs_data;10004;not(exists(EINZUGSDATUM/@value)) or string-length(xs:string(EINZUGSDATUM/@value)) = 0 or xs:string(EINZUGSDATUM/@value) = '';Das Datenfeld 'Datum des Einzugs (Beginn der vollstationären Versorgung)' ist nicht ausgefüllt;ERROR
qs_data;10005;not(exists(GEBURTSMONAT/@value)) or string-length(xs:string(GEBURTSMONAT/@value)) = 0 or xs:string(GEBURTSMONAT/@value) = '';Das Datenfeld 'Geburtsmonat' ist nicht ausgefüllt;ERROR
qs_data;10006;not(exists(GEBURTSJAHR/@value)) or string-length(xs:string(GEBURTSJAHR/@value)) = 0 or xs:string(GEBURTSJAHR/@value) = '';Das Datenfeld 'Geburtsjahr' ist nicht ausgefüllt;ERROR
qs_data;10007;not(exists(GESCHLECHT/@value)) or string-length(xs:string(GESCHLECHT/@value)) = 0 or xs:string(GESCHLECHT/@value) = '';Das Datenfeld 'Geschlecht' ist nicht ausgefüllt;ERROR
qs_data;10008;not(exists(PFLEGEGRAD/@value)) or string-length(xs:string(PFLEGEGRAD/@value)) = 0 or xs:string(PFLEGEGRAD/@value) = '';Das Datenfeld 'Pflegegrad' ist nicht ausgefüllt;ERROR
qs_data;10009;not(exists(APOPLEX/@value)) or string-length(xs:string(APOPLEX/@value)) = 0 or xs:string(APOPLEX/@value) = '';Das Datenfeld 'Ist es bei dem Bewohner bzw. der Bewohnerin seit der letzten Ergebniserfassung zu einem Apoplex gekommen?' ist nicht ausgefüllt;ERROR
qs_data;10010;not(exists(FRAKTUR/@value)) or string-length(xs:string(FRAKTUR/@value)) = 0 or xs:string(FRAKTUR/@value) = '';Das Datenfeld 'Ist es bei dem Bewohner bzw. der Bewohnerin seit der letzten Ergebniserfassung zu einer Fraktur gekommen?' ist nicht ausgefüllt;ERROR
qs_data;10011;not(exists(HERZINFARKT/@value)) or string-length(xs:string(HERZINFARKT/@value)) = 0 or xs:string(HERZINFARKT/@value) = '';Das Datenfeld 'Ist es bei dem Bewohner bzw. der Bewohnerin seit der letzten Ergebniserfassung zu einem Herzinfarkt gekommen?' ist nicht ausgefüllt;ERROR
qs_data;10012;not(exists(AMPUTATION/@value)) or string-length(xs:string(AMPUTATION/@value)) = 0 or xs:string(AMPUTATION/@value) = '';Das Datenfeld 'Ist es bei dem Bewohner bzw. der Bewohnerin seit der letzten Ergebniserfassung zu einer Amputation gekommen?' ist nicht ausgefüllt;ERROR
qs_data;10013;not(exists(KHBEHANDLUNG/@value)) or string-length(xs:string(KHBEHANDLUNG/@value)) = 0 or xs:string(KHBEHANDLUNG/@value) = '';Das Datenfeld 'Wurde der Bewohner bzw. die Bewohnerin seit der letzten Ergebniserfassung in einem Krankenhaus behandelt?' ist nicht ausgefüllt;ERROR
qs_data;10014;not(exists(BEATMUNG/@value)) or string-length(xs:string(BEATMUNG/@value)) = 0 or xs:string(BEATMUNG/@value) = '';Das Datenfeld 'Wird der Bewohner bzw. die Bewohnerin beatmet?' ist nicht ausgefüllt;ERROR
